trade_id,timestamp,symbol,side,price,volume,status,region,trader
T1001,2026-09-01 08:03:00,POWER-DE,buy,52.10,120,executed,DE,trader1
T1002,2026-09-01 08:17:00,GAS-NL,sell,31.45,300,executed,NL,trader2
T1003,2026-09-01 09:02:00,CARBON-EU,buy,71.20,50,executed,EU,trader3
T1004,2026-09-01 09:45:00,POWER-FR,sell,48.75,200,executed,FR,trader1
T1005,2026-09-01 10:12:00,POWER-DE,buy,52.80,150,executed,DE,trader4
T1006,2026-09-01 11:30:00,GAS-UK,sell,58.10,90,cancelled,UK,trader2
T1007,2026-09-01 13:05:00,GAS-NL,buy,31.90,220,executed,NL,trader5
T1008,2026-09-01 14:22:00,POWER-DE,sell,53.40,175,executed,DE,trader1
T1009,2026-09-01 15:10:00,CARBON-EU,sell,71.85,40,executed,EU,trader3
T1010,2026-09-01 16:45:00,POWER-FR,buy,49.20,110,pending,FR,trader4
T1011,2026-09-02 08:10:00,POWER-DE,buy,54.00,130,executed,DE,trader1
T1012,2026-09-02 08:40:00,GAS-NL,sell,32.10,280,executed,NL,trader2
T1013,2026-09-02 09:25:00,CARBON-EU,buy,72.50,60,executed,EU,trader3
T1014,2026-09-02 10:05:00,POWER-FR,sell,50.10,190,executed,FR,trader5
T1015,2026-09-02 11:50:00,GAS-UK,buy,59.30,100,executed,UK,trader4
T1016,2026-09-02 13:15:00,POWER-DE,sell,54.60,160,executed,DE,trader1
T1017,2026-09-02 14:30:00,GAS-NL,buy,32.75,240,cancelled,NL,trader2
T1018,2026-09-02 15:20:00,CARBON-EU,sell,73.10,35,executed,EU,trader3
T1019,2026-09-02 16:00:00,POWER-FR,buy,50.85,145,executed,FR,trader5
T1020,2026-09-02 16:40:00,POWER-DE,buy,55.20,125,pending,DE,trader4
T1021,2026-09-03 08:05:00,GAS-NL,sell,33.00,310,executed,NL,trader2
T1022,2026-09-03 08:50:00,POWER-DE,buy,55.90,135,executed,DE,trader1
T1023,2026-09-03 09:35:00,CARBON-EU,buy,73.60,55,executed,EU,trader3
T1024,2026-09-03 10:20:00,GAS-UK,sell,60.00,85,executed,UK,trader4
T1025,2026-09-03 11:15:00,POWER-FR,sell,51.40,205,executed,FR,trader5
T1026,2026-09-03 12:40:00,POWER-DE,sell,56.30,140,executed,DE,trader1
T1027,2026-09-03 13:55:00,GAS-NL,buy,33.45,260,executed,NL,trader2
T1028,2026-09-03 14:45:00,CARBON-EU,sell,74.00,45,cancelled,EU,trader3
T1029,2026-09-03 15:30:00,POWER-FR,buy,51.95,115,executed,FR,trader5
T1030,2026-09-03 16:10:00,POWER-DE,buy,56.75,155,executed,DE,trader4
T1031,2026-09-04 08:00:00,GAS-NL,sell,33.90,290,executed,NL,trader2
T1032,2026-09-04 08:35:00,POWER-DE,sell,57.10,145,executed,DE,trader1
T1033,2026-09-04 09:20:00,CARBON-EU,buy,74.50,65,executed,EU,trader3
T1034,2026-09-04 10:10:00,POWER-FR,sell,52.60,195,pending,FR,trader5
T1035,2026-09-04 11:45:00,GAS-UK,buy,61.20,95,executed,UK,trader4
T1036,2026-09-04 13:00:00,POWER-DE,buy,57.80,165,executed,DE,trader1
T1037,2026-09-04 14:15:00,GAS-NL,sell,34.30,270,executed,NL,trader2
T1038,2026-09-04 15:05:00,CARBON-EU,sell,75.10,50,executed,EU,trader3
T1039,2026-09-04 16:20:00,POWER-FR,buy,53.15,120,executed,FR,trader5
T1040,2026-09-04 16:50:00,POWER-DE,sell,58.00,130,cancelled,DE,trader4
T1041,2026-09-07 08:05:00,GAS-NL,buy,34.75,305,executed,NL,trader2
T1042,2026-09-07 08:45:00,POWER-DE,buy,58.40,150,executed,DE,trader1
T1043,2026-09-07 09:30:00,CARBON-EU,buy,75.60,58,executed,EU,trader3
T1044,2026-09-07 10:25:00,GAS-UK,sell,62.00,88,executed,UK,trader4
T1045,2026-09-07 11:40:00,POWER-FR,sell,53.80,210,executed,FR,trader5
T1046,2026-09-07 13:10:00,POWER-DE,sell,58.95,142,executed,DE,trader1
T1047,2026-09-07 14:35:00,GAS-NL,buy,35.10,250,executed,NL,trader2
T1048,2026-09-07 15:25:00,CARBON-EU,sell,76.00,42,executed,EU,trader3
T1049,2026-09-07 16:05:00,POWER-FR,buy,54.30,118,pending,FR,trader5
T1050,2026-09-07 16:45:00,POWER-DE,buy,59.20,158,executed,DE,trader4
